Film,Lead_Studio,Audience_score_percentage,Worldwide_Gross
27 Dresses,Fox,71,160.309
(500) Days of Summer,Fox,81,60.72
A Dangerous Method,Independent,89,8.973
A Serious Man,Universal,64,30.68
Across the Universe,Independent,84,29.367
Beginners,Independent,80,14.31
Dear John,Sony,66,114.97
Enchanted,Disney,80,340.488
Fireproof,Independent,51,33.467
Four Christmases,Warner Bros.,52,161.834
Ghosts of Girlfriends Past,Warner Bros.,47,102.22
Gnomeo and Juliet,Disney,52,193.967
Going the Distance,Warner Bros.,56,42.05
Good Luck Chuck,Lionsgate,61,59.192
He's Just Not That Into You,Warner Bros.,60,178.84
High School Musical 3: Senior Year,Disney,76,252.045
I Love You Phillip Morris,Independent,57,20.1
It's Complicated,Universal,63,224.6
Jane Eyre,Universal,77,30.147
Just Wright,Fox,58,21.569
Killers,Lionsgate,45,93.4
Knocked Up,Universal,83,219.001
Leap Year,Universal,49,32.59
Letters to Juliet,Summit,62,79.18
License to Wed,Warner Bros.,55,69.307
Life as We Know It,Independent,62,96.16
Love & Other Drugs,Fox,55,54.53
Love Happens,Universal,40,36.08
Made of Honor,Sony,61,105.963
Mamma Mia!,Universal,76,609.474
Marley and Me,Fox,77,206.073
Midnight in Paris,Sony,84,148.66
Miss Pettigrew Lives for a Day,Independent,70,15.174
Monte Carlo,20th Century Fox,50,39.664
Music and Lyrics,Warner Bros.,70,145.896
My Week with Marilyn,The Weinstein Company,84,8.258
New Year's Eve,Warner Bros.,48,142.04
Nick and Norah's Infinite Playlist,Sony,67,33.527
No Reservations,null,64,92.601
Not Easily Broken,Independent,66,10.7
One Day,Independent,54,55.241
Our Family Wedding,Independent,49,21.37
Over Her Dead Body,New Line,47,20.71
P.S. I Love You,Independent,82,153.094
Penelope,Summit,74,20.742
Rachel Getting Married,Independent,61,16.61
Remember Me,Summit,70,55.86
Sex and the City,Warner Bros.,81,415.253
Sex and the City 2,Warner Bros.,49,288.35
She's Out of My League,Paramount,60,48.81
Something Borrowed,Independent,null,60.183
Tangled,Disney,88,355.08
The Back-up Plan,CBS,47,77.09
The Curious Case of Benjamin Button,Warner Bros.,81,285.431
The Duchess,Paramount,68,43.306
The Heartbreak Kid,Paramount,41,127.767
The Invention of Lying,Warner Bros.,47,32.4
The Proposal,Disney,74,314.7
The Time Traveler's Wife,Paramount,65,101.33
The Twilight Saga: New Moon,Summit,78,709.82
The Ugly Truth,Independent,68,205.3
Twilight,Summit,82,376.661
Twilight: Breaking Dawn,Independent,68,702.17
Tyler Perry's Why Did I get Married,Independent,47,55.863
Valentine's Day,Warner Bros.,54,217.57
Waiting For Forever,Independent,53,0.025
Waitress,Independent,67,22.179
WALL-E,Disney,89,521.283
Water For Elephants,20th Century Fox,72,117.094
What Happens in Vegas,Fox,72,219.368
When in Rome,Disney,44,43.04
You Will Meet a Tall Dark Stranger,Independent,35,26.66
Youth in Revolt,The Weinstein Company,52,19.62
Zack and Miri Make a Porno,The Weinstein Company,70,41.941
Film,Lead Studio,Audience  score %,Worldwide Gross
27 Dresses,Fox,71,160.309
(500) Days of Summer,Fox,81,60.72
A Dangerous Method,Independent,89,8.973
A Serious Man,Universal,64,30.68
Across the Universe,Independent,84,29.367
Beginners,Independent,80,14.31
Dear John,Sony,66,114.97
Enchanted,Disney,80,340.488
Fireproof,Independent,51,33.467
Four Christmases,Warner Bros.,52,161.834
Ghosts of Girlfriends Past,Warner Bros.,47,102.22
Gnomeo and Juliet,Disney,52,193.967
Going the Distance,Warner Bros.,56,42.05
Good Luck Chuck,Lionsgate,61,59.192
He's Just Not That Into You,Warner Bros.,60,178.84
High School Musical 3: Senior Year,Disney,76,252.045
I Love You Phillip Morris,Independent,57,20.1
It's Complicated,Universal,63,224.6
Jane Eyre,Universal,77,30.147
Just Wright,Fox,58,21.569
Killers,Lionsgate,45,93.4
Knocked Up,Universal,83,219.001
Leap Year,Universal,49,32.59
Letters to Juliet,Summit,62,79.18
License to Wed,Warner Bros.,55,69.307
Life as We Know It,Independent,62,96.16
Love & Other Drugs,Fox,55,54.53
Love Happens,Universal,40,36.08
Made of Honor,Sony,61,105.963
Mamma Mia!,Universal,76,609.474
Marley and Me,Fox,77,206.073
Midnight in Paris,Sony,84,148.66
Miss Pettigrew Lives for a Day,Independent,70,15.174
Monte Carlo,20th Century Fox,50,39.664
Music and Lyrics,Warner Bros.,70,145.896
My Week with Marilyn,The Weinstein Company,84,8.258
New Year's Eve,Warner Bros.,48,142.04
Nick and Norah's Infinite Playlist,Sony,67,33.527
No Reservations,null,64,92.601
Not Easily Broken,Independent,66,10.7
One Day,Independent,54,55.241
Our Family Wedding,Independent,49,21.37
Over Her Dead Body,New Line,47,20.71
P.S. I Love You,Independent,82,153.094
Penelope,Summit,74,20.742
Rachel Getting Married,Independent,61,16.61
Remember Me,Summit,70,55.86
Sex and the City,Warner Bros.,81,415.253
Sex and the City 2,Warner Bros.,49,288.35
She's Out of My League,Paramount,60,48.81
Something Borrowed,Independent,null,60.183
Tangled,Disney,88,355.08
The Back-up Plan,CBS,47,77.09
The Curious Case of Benjamin Button,Warner Bros.,81,285.431
The Duchess,Paramount,68,43.306
The Heartbreak Kid,Paramount,41,127.767
The Invention of Lying,Warner Bros.,47,32.4
The Proposal,Disney,74,314.7
The Time Traveler's Wife,Paramount,65,101.33
The Twilight Saga: New Moon,Summit,78,709.82
The Ugly Truth,Independent,68,205.3
Twilight,Summit,82,376.661
Twilight: Breaking Dawn,Independent,68,702.17
Tyler Perry's Why Did I get Married,Independent,47,55.863
Valentine's Day,Warner Bros.,54,217.57
Waiting For Forever,Independent,53,0.025
Waitress,Independent,67,22.179
WALL-E,Disney,89,521.283
Water For Elephants,20th Century Fox,72,117.094
What Happens in Vegas,Fox,72,219.368
When in Rome,Disney,44,43.04
You Will Meet a Tall Dark Stranger,Independent,35,26.66
Youth in Revolt,The Weinstein Company,52,19.62
